id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],ConstructorCallMutator,183,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,0,58,45,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,1,58,85,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,2,58,67,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,3,58,85,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,4,58,85,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,1,58,89,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,3,58,89,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,4,58,89,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,6,59,89,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,7,59,89,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,5,59,76,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,6,59,85,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,7,59,85,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,8,59,63,1,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,10,60,96,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],MemberVariableMutator,181,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,10,61,92,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=getOptionGroup methodDesc=()Lorg/apache/commons/cli/OptionGroup;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],NullReturnValsMutator,176,none,1,1,1,org.apache.commons.cli.AlreadySelectedException,getOptionGroup,0,72,24,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=getOptionGroup methodDesc=()Lorg/apache/commons/cli/OptionGroup;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,176,none,1,1,1,org.apache.commons.cli.AlreadySelectedException,getOptionGroup,0,72,152,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=getOption methodDesc=()Lorg/apache/commons/cli/Option;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,176,none,1,1,1,org.apache.commons.cli.AlreadySelectedException,getOption,0,83,153,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=getOption methodDesc=()Lorg/apache/commons/cli/Option;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],NullReturnValsMutator,176,none,1,1,1,org.apache.commons.cli.AlreadySelectedException,getOption,0,83,25,0,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_9],RemoveSwitchMutator_9,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,1,1,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_6],RemoveSwitchMutator_6,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,1,1,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_5],RemoveSwitchMutator_5,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,1,1,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_8],RemoveSwitchMutator_8,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,110,0,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_7],RemoveSwitchMutator_7,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,113,0,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_2],RemoveSwitchMutator_2,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,117,0,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_1],RemoveSwitchMutator_1,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,1,1,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_4],RemoveSwitchMutator_4,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,1,1,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_3],RemoveSwitchMutator_3,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,1,1,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_0],RemoveSwitchMutator_0,170,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,139,0,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],UOI2Mutator,21,none,1,1,1,org.apache.commons.cli.PatternOptionBuilder,getValueClass,0,96,14,1,8
