id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],ConstructorCallMutator,183,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,0,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,1,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,2,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,3,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,4,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,1,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,3,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,4,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,6,59
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,3,1,1,org.apache.commons.cli.AlreadySelectedException,<init>,7,59
