id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PosixParser method=flatten methodDesc=(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;] indexes=[187] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],45,24
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.TypeHandler method=openFile methodDesc=(Ljava/lang/String;)Ljava/io/FileInputStream;] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85,35
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionGroup method=setSelected methodDesc=(Lorg/apache/commons/cli/Option;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],67,21
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleUnknownToken methodDesc=(Ljava/lang/String;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89,35
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionGroup method=toString methodDesc=()Ljava/lang/String;] indexes=[68] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],76,10
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.TypeHandler method=createObject methodDesc=(Ljava/lang/String;)Ljava/lang/Object;] indexes=[53] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],63,24
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[141] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],96,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[35] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],92,22
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option$Builder method=build methodDesc=()Lorg/apache/commons/cli/Option;] indexes=[24] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],24,67
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=getOptionGroup methodDesc=()Lorg/apache/commons/cli/OptionGroup;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,38
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=isArgument methodDesc=(Ljava/lang/String;)Z] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],25,7
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Util method=stripLeadingAndTrailingQuotes methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],153,17
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printHelp methodDesc=(Ljava/io/PrintWriter;ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;IILjava/lang/String;Z)V] indexes=[46] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],1,253
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionBuilder method=withType methodDesc=(Ljava/lang/Object;)Lorg/apache/commons/cli/OptionBuilder;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],110,8
