id,distance
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],45
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],67
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],76
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AlreadySelectedException method=<init> methodDesc=(Lorg/apache/commons/cli/OptionGroup;Lorg/apache/commons/cli/Option;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85
