id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=parseEncapsulatedToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[184] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],48,9
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=nextToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[97] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9,162
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=nextRecord methodDesc=()Lorg/apache/commons/csv/CSVRecord;] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],55,13
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=toString methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],45,27
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[43] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],66,28
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=nextRecord methodDesc=()Lorg/apache/commons/csv/CSVRecord;] indexes=[162] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],3,123
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=print methodDesc=(Ljava/lang/Object;Ljava/lang/Appendable;Z)V] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],110,2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=<init> methodDesc=(Lorg/apache/commons/csv/CSVFormat;Lorg/apache/commons/csv/ExtendedBufferedReader;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],80,33
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=readEscape methodDesc=()I] indexes=[64] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],60,6
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=parse methodDesc=(Ljava/net/URL;Ljava/nio/charset/Charset;Lorg/apache/commons/csv/CSVFormat;)Lorg/apache/commons/csv/CSVParser;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],91,10
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=getRecords methodDesc=()Ljava/util/List;] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],87,3
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=([CII)I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],19,69
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Token method=toString methodDesc=()Ljava/lang/String;] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,19
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[196] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],89,66
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=<init> methodDesc=(CLjava/lang/Character;Lorg/apache/commons/csv/QuoteMode;Ljava/lang/Character;Ljava/lang/Character;ZZLjava/lang/String;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/String;ZZZZZZZ)V] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],84,5
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=readEndOfLine methodDesc=(I)Z] indexes=[35] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],14,244
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=trimTrailingSpaces methodDesc=(Ljava/lang/StringBuilder;)V] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],13,247
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=putIn methodDesc=(Ljava/util/Map;)Ljava/util/Map;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],75,11
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1253,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=nextToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[54] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],187,4
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=nextRecord methodDesc=()Lorg/apache/commons/csv/CSVRecord;] indexes=[112] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],69,9
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=<init> methodDesc=(CLjava/lang/Character;Lorg/apache/commons/csv/QuoteMode;Ljava/lang/Character;Ljava/lang/Character;ZZLjava/lang/String;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/String;ZZZZZZZ)V] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],74,8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=isSet methodDesc=(Ljava/lang/String;)Z] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],73,9
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],380,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],748,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Token method=<init> methodDesc=()V] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],8,60
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getCurrentLineNumber methodDesc=()J] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],2,603
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.Lexer method=parseEncapsulatedToken methodDesc=(Lorg/apache/commons/csv/Token;)Lorg/apache/commons/csv/Token;] indexes=[162] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],72,23
