project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,86054,17,0.0,1.0,1,1.0
google-auto-common,86054,31,0.38409961685823757,0.6349455283609668,0.5185185185185185,0.7777777777777778
scribejava-core,86054,32,0.34608695652173915,0.7684771033193273,0.631578947368421,1.0
google-auto-factory,86054,22,0.4284490145672665,0.5826957298335252,0.5172413793103449,0.6976744186046512
commons-csv,86054,32,0.9536903039073806,0.8348374939962628,0.6363636363636364,1.0
commons-cli,86054,26,0.9346314325452016,0.8251845840634402,0.7049180327868853,1.0
google-auto-value,86054,41,0.5516417910447761,0.6155141841149393,0.5217391304347826,0.75
gson,86054,40,0.459189046866772,0.5811875389313652,0.5,0.6777777777777778
commons-io,86054,40,0.6089949518127582,0.5707155213749047,0.5,0.7209302325581395
commons-text,86054,55,0.7109713342957311,0.7800579353536085,0.6190476190476191,0.847953216374269
commonc-codec,86054,17,0.784235015053371,0.7761324641603867,0.7541436464088398,0.8134146341463414
commons-lang,86054,28,0.7752754795384559,0.7728246056815093,0.7336122733612274,0.8059701492537313
jfreechart,86054,28,0.40781764529786596,0.7407447799908037,0.7219917012448133,0.7582978723404256
jodatime,86054,25,0.5679006872090445,0.6433038312131545,0.5833333333333334,0.6851457000710732
zxing,86054,28,0.9902715480664323,0.830044143281011,0.7978533094812165,0.8482758620689655
