project,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,17.0,0.0,1.0,1.0,1.0
scribejava-core,32.0,0.22910144927536227,0.7694497984964872,0.5960436696855012,0.9642278299775608
google-auto-factory,22.0,0.5658668951728079,0.5907938444872338,0.5060089644093424,0.7379563623642349
google-auto-common,31.0,0.37203065134099605,0.6303551236777949,0.5077962712927241,0.8793004651612846
google-auto-value,41.0,0.6100597014925373,0.614218307212974,0.5094133004269855,0.8647539346101534
gson,40.0,0.589491545257738,0.592193648738484,0.5054169833941503,0.7956675114877012
commons-io,40.0,0.533176533578094,0.5727846623744585,0.5063434719588741,0.7476961555243496
commons-cli,26.0,0.8408205841446453,0.8168699020273519,0.6786777818013938,0.9485839668923337
commons-text,55.0,0.7573176599986252,0.7818879456887063,0.6207701145381462,0.9354064629458626
commonc-codec,17.0,0.7881549736946142,0.7767170042600987,0.7443082470961393,0.8108458199290334
commons-csv,32.0,0.8498552821997106,0.834081779508701,0.674363907883946,0.9639186849338811
commons-lang,28.0,0.7241976774385042,0.7704466456735131,0.737342613940607,0.8118650189522729
jfreechart,28.0,0.28487505167571886,0.7408444502619997,0.7178667341049978,0.7630405804442522
jodatime,25.0,0.6750506170102712,0.6467888640853623,0.6072833051571516,0.6868023114603482
zxing,28.0,0.8149634299106963,0.830989587620233,0.8020263987358079,0.8635711987167228
