project,seed,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,49008,17,0.0,1.0,1,1.0
google-auto-common,49008,31,0.5613026819923371,0.6313537669422306,0.5,0.7777777777777778
scribejava-core,49008,32,0.09130434782608696,0.7620355996753025,0.5714285714285714,1.0
google-auto-factory,49008,22,0.5809768637532133,0.589159669289259,0.5068493150684932,0.75
commons-csv,49008,32,0.9479015918958031,0.8435477438337208,0.6363636363636364,1.0
commons-cli,49008,26,0.8393602225312935,0.8206648719316014,0.7241379310344828,0.9285714285714286
google-auto-value,49008,41,0.5402985074626866,0.6159181192782632,0.5168539325842697,0.75
gson,49008,40,0.5911883447428471,0.5773109392799824,0.5,0.6610169491525424
commons-io,49008,40,0.6263194125745755,0.5695753197823178,0.5,0.6875
commons-text,49008,55,0.7546916890080428,0.7765904766495868,0.6666666666666666,0.8554216867469879
commonc-codec,49008,17,0.6370769090411459,0.7753944939699553,0.7547169811320755,0.7945945945945946
commons-lang,49008,28,0.7713056060549845,0.7711515679173983,0.7369230769230769,0.8181818181818182
jfreechart,49008,28,0.10956677928409528,0.7398336316031616,0.7047619047619048,0.7565290648694187
jodatime,49008,25,0.724318332963866,0.6492305160112964,0.6261558784676354,0.6848137535816619
zxing,49008,28,0.8033701054673293,0.829740547214137,0.7954144620811288,0.8507462686567164
