project,clusters,score,acc_avg,acc_min,acc_max
google-auto-service,17.0,0.0,1.0,1.0,1.0
scribejava-core,32.0,0.2364347826086956,0.7679602682989386,0.5877077424972083,0.9660091481859377
google-auto-factory,22.0,0.5739502999143102,0.5919580640150047,0.5067129386992665,0.7396153233073374
google-auto-common,31.0,0.37643678160919536,0.6295372346444913,0.5059287421372437,0.8352505604229743
google-auto-value,41.0,0.5960696517412936,0.6148296205597135,0.5059565444742964,0.8352798726974888
gson,40.0,0.576110233456205,0.5910566998968637,0.5083633153599567,0.7668411635749652
commons-io,40.0,0.5795395441333945,0.5725020108277458,0.5062101202035182,0.7269559941557738
commons-cli,26.0,0.8152758460825221,0.8177353465314521,0.6770266194465177,0.9575114570157003
commons-text,55.0,0.7791675259503675,0.7822315776142386,0.6180132954725532,0.9391706864732426
commonc-codec,17.0,0.7946142383602469,0.7772562191903306,0.7439194272719288,0.8165558540444664
commons-csv,32.0,0.828437047756874,0.8346532162359012,0.6558049178134852,0.9780177917760279
commons-lang,28.0,0.7683312927441595,0.7698895924276847,0.7303380606231447,0.805568385257737
jfreechart,28.0,0.26408501903091985,0.7411064454265716,0.7182981771852598,0.7636175094172962
jodatime,25.0,0.6516559521170471,0.6475111986205415,0.6082081162159094,0.6981341287903245
zxing,28.0,0.8002737705580475,0.8310831458200881,0.8009674860422755,0.8602625530828423
