seed,reduction,score,acc_avg,acc_min,acc_max
66304.0,0.5,0.0,1.0,1.0,1.0
66304.0,0.75,0.0,1.0,1.0,1.0
16389.0,0.5,0.0,1.0,1.0,1.0
16389.0,0.75,0.0,1.0,1.0,1.0
91254.0,0.5,0.0,1.0,1.0,1.0
91254.0,0.75,0.0,1.0,1.0,1.0
49890.0,0.5,0.0,1.0,1.0,1.0
49890.0,0.75,0.0,1.0,1.0,1.0
86054.0,0.5,0.0,1.0,1.0,1.0
86054.0,0.75,0.0,1.0,1.0,1.0
55284.0,0.5,0.0,1.0,1.0,1.0
55284.0,0.75,0.0,1.0,1.0,1.0
77324.0,0.5,0.0,1.0,1.0,1.0
77324.0,0.75,0.0,1.0,1.0,1.0
36147.0,0.5,0.0,1.0,1.0,1.0
36147.0,0.75,0.0,1.0,1.0,1.0
13506.0,0.5,0.0,1.0,1.0,1.0
13506.0,0.75,0.0,1.0,1.0,1.0
73920.0,0.5,0.0,1.0,1.0,1.0
73920.0,0.75,0.0,1.0,1.0,1.0
80157.0,0.5,0.0,1.0,1.0,1.0
80157.0,0.75,0.0,1.0,1.0,1.0
43981.0,0.5,0.0,1.0,1.0,1.0
43981.0,0.75,0.0,1.0,1.0,1.0
75358.0,0.5,0.0,1.0,1.0,1.0
75358.0,0.75,0.0,1.0,1.0,1.0
33399.0,0.5,0.0,1.0,1.0,1.0
33399.0,0.75,0.0,1.0,1.0,1.0
56134.0,0.5,0.0,1.0,1.0,1.0
56134.0,0.75,0.0,1.0,1.0,1.0
13388.0,0.5,0.0,1.0,1.0,1.0
13388.0,0.75,0.0,1.0,1.0,1.0
81617.0,0.5,0.0,1.0,1.0,1.0
81617.0,0.75,0.0,1.0,1.0,1.0
90957.0,0.5,0.0,1.0,1.0,1.0
90957.0,0.75,0.0,1.0,1.0,1.0
52113.0,0.5,0.0,1.0,1.0,1.0
52113.0,0.75,0.0,1.0,1.0,1.0
20428.0,0.5,0.0,1.0,1.0,1.0
20428.0,0.75,0.0,1.0,1.0,1.0
26482.0,0.5,0.0,1.0,1.0,1.0
26482.0,0.75,0.0,1.0,1.0,1.0
56340.0,0.5,0.0,1.0,1.0,1.0
56340.0,0.75,0.0,1.0,1.0,1.0
31018.0,0.5,0.0,1.0,1.0,1.0
31018.0,0.75,0.0,1.0,1.0,1.0
32067.0,0.5,0.0,1.0,1.0,1.0
32067.0,0.75,0.0,1.0,1.0,1.0
13067.0,0.5,0.0,1.0,1.0,1.0
13067.0,0.75,0.0,1.0,1.0,1.0
8339.0,0.5,0.0,1.0,1.0,1.0
8339.0,0.75,0.0,1.0,1.0,1.0
49008.0,0.5,0.0,1.0,1.0,1.0
49008.0,0.75,0.0,1.0,1.0,1.0
14706.0,0.5,0.0,1.0,1.0,1.0
14706.0,0.75,0.0,1.0,1.0,1.0
68282.0,0.5,0.0,1.0,1.0,1.0
68282.0,0.75,0.0,1.0,1.0,1.0
66304.0,0.25,0.0,1.0,1.0,1.0
16389.0,0.25,0.0,1.0,1.0,1.0
91254.0,0.25,0.0,1.0,1.0,1.0
49890.0,0.25,0.0,1.0,1.0,1.0
86054.0,0.25,0.0,1.0,1.0,1.0
55284.0,0.25,0.0,1.0,1.0,1.0
77324.0,0.25,0.0,1.0,1.0,1.0
36147.0,0.25,0.0,1.0,1.0,1.0
13506.0,0.25,0.0,1.0,1.0,1.0
73920.0,0.25,0.0,1.0,1.0,1.0
80157.0,0.25,0.0,1.0,1.0,1.0
43981.0,0.25,0.0,1.0,1.0,1.0
75358.0,0.25,0.0,1.0,1.0,1.0
33399.0,0.25,0.0,1.0,1.0,1.0
56134.0,0.25,0.0,1.0,1.0,1.0
13388.0,0.25,0.0,1.0,1.0,1.0
81617.0,0.25,0.0,1.0,1.0,1.0
90957.0,0.25,0.0,1.0,1.0,1.0
52113.0,0.25,0.0,1.0,1.0,1.0
20428.0,0.25,0.0,1.0,1.0,1.0
26482.0,0.25,0.0,1.0,1.0,1.0
56340.0,0.25,0.0,1.0,1.0,1.0
31018.0,0.25,0.0,1.0,1.0,1.0
32067.0,0.25,0.0,1.0,1.0,1.0
13067.0,0.25,0.0,1.0,1.0,1.0
8339.0,0.25,0.0,1.0,1.0,1.0
49008.0,0.25,0.0,1.0,1.0,1.0
14706.0,0.25,0.0,1.0,1.0,1.0
68282.0,0.25,0.0,1.0,1.0,1.0
125894.0,0.25,0.0,1.0,1.0,1.0
125894.0,0.5,0.0,1.0,1.0,1.0
125894.0,0.75,0.0,1.0,1.0,1.0
