project,reduction,score,acc_avg,acc_min,acc_max
commonc-codec,0.75,0.8460696299540178,0.9884193367880693,0.5,1.0
commonc-codec,0.5,0.846017930564679,0.959153224825446,0.5,1.0
commonc-codec,0.25,0.847097535459699,0.9444001853680007,0.5,1.0
commons-cli,0.75,0.7909596662030598,0.9668088262562581,0.5,1.0
commons-cli,0.25,0.7901251738525731,0.9134512255758093,0.5,1.0
commons-cli,0.5,0.7916875289754287,0.9418729717199823,0.5,1.0
commons-csv,0.75,0.8507095279467133,0.9764478764478768,0.5,1.0
commons-csv,0.5,0.8513225214789073,0.9465440679602265,0.5,1.0
commons-csv,0.25,0.8542137271937446,0.9208331557781487,0.5,1.0
commons-io,0.5,0.6606442384187012,0.9402889970014006,0.5,1.0
commons-io,0.75,0.6606618322012114,0.9718805458662262,0.5,1.0
commons-io,0.25,0.6618276115292824,0.9035523795299869,0.5,1.0
commons-text,0.25,0.7933422698838247,0.8995158967257514,0.5,1.0
commons-text,0.75,0.7933388327490204,0.9761466124065109,0.5,1.0
commons-text,0.5,0.7929002543479755,0.9320863408262916,0.5,1.0
google-auto-common,0.25,0.6013540269528008,0.9111661709937582,0.5,1.0
google-auto-common,0.5,0.5976112920738328,0.9449169859514659,0.5,1.0
google-auto-common,0.75,0.5976240659130101,0.9615581098339722,0.5,1.0
google-auto-factory,0.25,0.4857510288065843,0.9418381534636683,0.5,1.0
google-auto-factory,0.5,0.48389917695473245,0.961162551440328,0.5,1.0
google-auto-factory,0.75,0.48405349794238683,0.9746227709190669,0.5,1.0
google-auto-service,0.75,0.0,1.0,1.0,1.0
google-auto-service,0.25,0.0,1.0,1.0,1.0
google-auto-service,0.5,0.0,1.0,1.0,1.0
google-auto-value,0.5,0.627144790795812,0.9609339543771716,0.5,1.0
google-auto-value,0.75,0.6267765436522154,0.9730891719745222,0.5,1.0
google-auto-value,0.25,0.6289462160117838,0.9432897775207292,0.5,1.0
gson,0.5,0.6681305950500265,0.9475332912073676,0.5,1.0
gson,0.75,0.6684219764788486,0.9759174311926603,0.5,1.0
gson,0.25,0.668665379439471,0.9160826030034166,0.5,1.0
scribejava-core,0.75,0.33518969718064756,0.9799303944315546,0.5,1.0
scribejava-core,0.5,0.3354275437985846,0.9694106044784763,0.5,1.0
scribejava-core,0.25,0.33625710639285306,0.932933808246961,0.5,1.0
