project,reduction,score
google-auto-service,0.25,0.0
commonc-codec,0.25,0.013703379315378461
google-auto-common,0.25,0.05441655489557384
commons-text,0.25,0.014889667972777909
scribejava-core,0.25,0.030107901148625105
commons-io,0.25,0.015719662199375817
google-auto-factory,0.25,0.03652263374485598
gson,0.25,0.021520098297349466
commons-csv,0.25,0.04619171734723437
google-auto-value,0.25,0.017018989609459023
commons-cli,0.25,0.04033379694019479
commons-text,0.5,0.0074860796040420174
commons-io,0.5,0.01207086469616303
gson,0.5,0.011865894330349347
google-auto-value,0.5,0.013018034157410763
commonc-codec,0.5,0.007517699437997183
commons-cli,0.5,0.027955493741307458
commons-csv,0.5,0.029829134086301723
google-auto-factory,0.5,0.02177640603566522
scribejava-core,0.5,0.015315001740341116
google-auto-common,0.5,0.037555087181452396
google-auto-service,0.5,0.0
commons-cli,0.75,0.0016689847009736525
google-auto-factory,0.75,0.000685871056241405
google-auto-value,0.75,0.0011943150603128672
scribejava-core,0.75,0.00661329620605644
gson,0.75,0.005968053361418257
google-auto-common,0.75,0.006514657980456029
commons-io,0.75,0.0020194602533505357
google-auto-service,0.75,0.0
commons-text,0.75,0.0007836667354093052
commons-csv,0.75,0.002316825948450618
commonc-codec,0.75,0.0027005328078242297
