id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.auto.common.AnnotationValues$EnumVisitor method=visitEnumConstant methodDesc=(Ljavax/lang/model/element/VariableElement;Ljava/lang/Void;)Ljavax/lang/model/element/VariableElement;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],5
MutationIdentifier [location=Location [clazz=com.google.auto.common.AnnotationValues$EnumVisitor method=visitEnumConstant methodDesc=(Ljavax/lang/model/element/VariableElement;Ljava/lang/Void;)Ljavax/lang/model/element/VariableElement;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],2
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],1
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],7
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],16
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],20
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],13
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],26
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],0
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],16
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],26
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],12
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],22
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],27
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],0
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],17
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],17
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],5
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],0
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],0
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],20
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],21
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],9
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],27
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],9
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],9
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],26
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],16
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],30
