id,distance
MutationIdentifier [location=Location [clazz=com.google.auto.common.AnnotationValues$EnumVisitor method=visitEnumConstant methodDesc=(Ljavax/lang/model/element/VariableElement;Ljava/lang/Void;)Ljavax/lang/model/element/VariableElement;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],24
MutationIdentifier [location=Location [clazz=com.google.auto.common.AnnotationValues$EnumVisitor method=visitEnumConstant methodDesc=(Ljavax/lang/model/element/VariableElement;Ljava/lang/Void;)Ljavax/lang/model/element/VariableElement;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],154
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],14
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],7
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],2
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],7
MutationIdentifier [location=Location [clazz=com.google.auto.common.MoreTypes$HashVisitor method=hashKind methodDesc=(ILjavax/lang/model/type/TypeMirror;)I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9
