id,killed,numTests
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=<init> methodDesc=(Ljavax/lang/model/util/Types;)V] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],0,27
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=asTypeElement methodDesc=(Ljavax/lang/model/type/TypeMirror;)Ljavax/lang/model/element/TypeElement;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,6
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=asTypeElement methodDesc=(Ljavax/lang/model/type/TypeMirror;)Ljavax/lang/model/element/TypeElement;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,6
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=asTypeElement methodDesc=(Ljavax/lang/model/type/TypeMirror;)Ljavax/lang/model/element/TypeElement;] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,6
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=asTypeElement methodDesc=(Ljavax/lang/model/type/TypeMirror;)Ljavax/lang/model/element/TypeElement;] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],0,6
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=asTypeElement methodDesc=(Ljavax/lang/model/type/TypeMirror;)Ljavax/lang/model/element/TypeElement;] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],0,6
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],0,20
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],0,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,8
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,20
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],0,8
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],0,20
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],0,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],0,8
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],0,20
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR1Mutator],0,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],1,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR3Mutator],0,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],1,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=erasedParameterTypes methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableList;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],0,24
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[122] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator],1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[58] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[84] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],1,7
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[112] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[94] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator],0,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[116] mutator=org.pitest.mutationtest.engine.gregor.mutators.IncrementsMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[57] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[83] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,7
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[88] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[111] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[121] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[54] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],0,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[77] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[79] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],0,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[94] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],0,4
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[108] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[35] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,15
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[45] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[46] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[51] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[52] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[65] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[72] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[101] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[105] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[107] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[54] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],0,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[77] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[79] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],0,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[108] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1,0
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[54] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[77] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1,9
MutationIdentifier [location=Location [clazz=com.google.auto.common.Overrides$ExplicitOverrides method=isSubsignature methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[79] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1,9
