id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1829,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=hashCode methodDesc=()I] indexes=[121] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],3,121
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addConstructorAndProviderFields methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],125,9
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=hashCode methodDesc=()I] indexes=[107] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],67,19
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],124,5
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1545,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor method=<init> methodDesc=(Ljava/lang/String;Ljavax/lang/model/type/TypeMirror;ZLcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;)V] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],133,13
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoFactoryDeclaration method=getFactoryName methodDesc=()Lcom/google/auto/factory/processor/PackageAndClass;] indexes=[62] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],117,10
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1264,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoFactoryDeclaration$Factory method=createIfValid methodDesc=(Ljavax/lang/model/element/Element;)Ljava/util/Optional;] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],137,10
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor method=<init> methodDesc=(Ljava/lang/String;Ljavax/lang/model/type/TypeMirror;ZLcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],127,4
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=hashCode methodDesc=()I] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],14,133
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryDescriptorGenerator method=generateDescriptorForConstructor methodDesc=(Lcom/google/auto/factory/processor/AutoFactoryDeclaration;Ljavax/lang/model/element/ExecutableElement;)Lcom/google/auto/factory/processor/FactoryMethodDescriptor;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],82,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=hashCode methodDesc=()I] indexes=[125] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],13,70
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor$Builder method=publicMethod methodDesc=(Z)Lcom/google/auto/factory/processor/ImplementationMethodDescriptor$Builder;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9,36
