id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],8
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],16
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],10
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],2
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],15
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],21
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],16
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],5
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],11
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],19
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[31] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],11
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[38] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],16
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],15
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],8
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],20
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[48] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[55] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],8
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[59] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],14
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[60] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],5
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[59] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],16
