id,distance
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1829
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],125
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],67
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],124
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1545
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=<init> methodDesc=(Lcom/google/auto/factory/processor/PackageAndClass;Ljavax/lang/model/type/TypeMirror;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;ZLcom/google/common/collect/ImmutableMap;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],133
