id,killed,numTests
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],0,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],0,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],0,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],0,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],1,40
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addCheckNotNullMethod methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],0,18
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addCheckNotNullMethod methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],0,18
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addCheckNotNullMethod methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],0,18
