id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,1,48,85,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,2,48,85,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,3,48,63,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],EmptyObjectReturnValsMutator,176,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,4,48,19,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],ConstructorCallMutator,183,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,0,48,45,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,1,48,89,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],NakedReceiverMutator,182,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,2,48,89,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,176,none,1,1,1,com.google.auto.service.processor.ServicesFiles,getPath,4,48,151,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],ConstructorCallMutator,183,L,7,0,1,com.google.auto.service.processor.ServicesFiles,readServiceFile,0,59,38,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,184,L,7,0,1,com.google.auto.service.processor.ServicesFiles,readServiceFile,1,60,75,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],ArgumentPropagationMutator,182,L,7,0,1,com.google.auto.service.processor.ServicesFiles,readServiceFile,4,63,89,1,0
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,L,7,0,1,com.google.auto.service.processor.ServicesFiles,readServiceFile,4,63,86,1,0
