id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],310
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],310
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],226
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],299
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],223
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],154
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],154
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=getPath methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],227
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],245
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],211
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],257
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],311
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],152
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],152
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],313
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],239
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],55
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],340
MutationIdentifier [location=Location [clazz=com.google.auto.service.processor.ServicesFiles method=readServiceFile methodDesc=(Ljava/io/InputStream;)Ljava/util/Set;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],55
