id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.GwtSerialization method=writeSourceFile methodDesc=(Ljava/lang/String;Ljava/lang/String;Ljavax/lang/model/element/TypeElement;)V] indexes=[79] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89,142
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=writeExtensions methodDesc=(Ljavax/lang/model/element/TypeElement;Lcom/google/auto/value/processor/ExtensionContext;Lcom/google/common/collect/ImmutableList;)I] indexes=[41] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],116,21
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.toprettystring.processor.ExtensionClassTypeSpecBuilder method=getAnnotationFqName methodDesc=(Ljavax/lang/model/element/AnnotationMirror;)Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],55,56
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoAnnotationProcessor$Member method=isArrayOfClassWithBounds methodDesc=()Z] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],124,45
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=prefixedGettersIn methodDesc=(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableSet;] indexes=[75] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],42,19
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=methodsConsumedByExtensions methodDesc=(Ljavax/lang/model/element/TypeElement;Lcom/google/common/collect/ImmutableList;Lcom/google/auto/value/processor/ExtensionContext;Lcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableMap;)Lcom/google/common/collect/ImmutableSet;] indexes=[129] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,1227
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.Optionalish method=getEmpty methodDesc=()Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],2,1650
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=processType methodDesc=(Ljavax/lang/model/element/TypeElement;)V] indexes=[347] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],14,241
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.toprettystring.processor.ExtensionClassTypeSpecBuilder method=<init> methodDesc=(Lcom/google/auto/value/extension/AutoValueExtension$Context;Ljava/lang/String;Ljava/lang/String;Z)V] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],13,211
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$TypeRewriter method=rewrite methodDesc=()Ljava/lang/String;] indexes=[150] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9,123
