id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],40
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],35
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[25] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],4
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],33
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],35
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],27
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],16
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],39
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[46] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],3
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[46] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],17
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],31
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=rewriteReturnTypes methodDesc=(Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/util/Collection;Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Lcom/google/common/collect/ImmutableMap;] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],36
