id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[175] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR1Mutator],2,1947
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],119,3
MutationIdentifier [location=Location [clazz=com.google.gson.internal.JavaVersion method=parseDotted methodDesc=(Ljava/lang/String;)I] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,1291
MutationIdentifier [location=Location [clazz=com.google.gson.internal.LinkedTreeMap$Node method=toString methodDesc=()Ljava/lang/String;] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],19,91
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.JsonTreeReader method=locationString methodDesc=()Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],151,75
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonWriter method=string methodDesc=(Ljava/lang/String;)V] indexes=[52] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9,478
MutationIdentifier [location=Location [clazz=com.google.gson.GsonBuilder method=setFieldNamingPolicy methodDesc=(Lcom/google/gson/FieldNamingPolicy;)Lcom/google/gson/GsonBuilder;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,100
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=doPeek methodDesc=()I] indexes=[41] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],13,873
MutationIdentifier [location=Location [clazz=com.google.gson.internal.JavaVersion method=parseDotted methodDesc=(Ljava/lang/String;)I] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],14,826
MutationIdentifier [location=Location [clazz=com.google.gson.internal.Excluder method=<init> methodDesc=()V] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],83,7
MutationIdentifier [location=Location [clazz=com.google.gson.internal.$Gson$Types$WildcardTypeImpl method=hashCode methodDesc=()I] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],57,52
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$27 method=write methodDesc=(Lcom/google/gson/stream/JsonWriter;Ljava/util/Calendar;)V] indexes=[45] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],38,48
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$35$1 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/lang/Object;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],3,1949
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=peekNumber methodDesc=()I] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],60,39
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapterRuntimeTypeWrapper method=write methodDesc=(Lcom/google/gson/stream/JsonWriter;Ljava/lang/Object;)V] indexes=[62] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],100,50
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[151] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],97,134
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=locationString methodDesc=()Ljava/lang/String;] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4,318
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=toJson methodDesc=(Lcom/google/gson/JsonElement;Ljava/lang/Appendable;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],98,75
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$22 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/net/URI;] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],12,351
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[162] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],94,16
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=peekNumber methodDesc=()I] indexes=[267] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],46,24
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter method=<init> methodDesc=(Ljava/lang/Class;)V] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],39,36
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=indexOfNonDigit methodDesc=(Ljava/lang/String;I)I] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],272,55
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$29 method=write methodDesc=(Lcom/google/gson/stream/JsonWriter;Lcom/google/gson/JsonElement;)V] indexes=[58] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],72,55
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=peekNumber methodDesc=()I] indexes=[186] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],68,97
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[77] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],278,6
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=nextDouble methodDesc=()D] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],104,31
MutationIdentifier [location=Location [clazz=com.google.gson.Gson$5 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/util/concurrent/atomic/AtomicLongArray;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],48,18
MutationIdentifier [location=Location [clazz=com.google.gson.Gson$2 method=write methodDesc=(Lcom/google/gson/stream/JsonWriter;Ljava/lang/Number;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],44,6
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonWriter method=close methodDesc=()V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],37,14
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[187] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],105,10
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=doPeek methodDesc=()I] indexes=[311] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],34,22
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=toJson methodDesc=(Ljava/lang/Object;Ljava/lang/reflect/Type;Ljava/lang/Appendable;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],101,17
MutationIdentifier [location=Location [clazz=com.google.gson.Gson$5 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/util/concurrent/atomic/AtomicLongArray;] indexes=[24] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],41,12
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonWriter method=string methodDesc=(Ljava/lang/String;)V] indexes=[47] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],33,14
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=nextName methodDesc=()Ljava/lang/String;] indexes=[86] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],103,92
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=<init> methodDesc=(Ljava/io/Reader;)V] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],31,101
MutationIdentifier [location=Location [clazz=com.google.gson.internal.LinkedHashTreeMap$Node method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],30,5
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=peekNumber methodDesc=()I] indexes=[270] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE],11,73
MutationIdentifier [location=Location [clazz=com.google.gson.internal.ConstructorConstructor$9 method=construct methodDesc=()Ljava/lang/Object;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],63,66
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$5 method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/lang/Number;] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],159,10
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=checkValidFloatingPoint methodDesc=(D)V] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],47,58
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[35] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],88,28
MutationIdentifier [location=Location [clazz=com.google.gson.internal.Excluder method=isStatic methodDesc=(Ljava/lang/Class;)Z] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],7,502
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[76] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],140,83
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],90,82
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[66] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],139,124
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=nextQuotedValue methodDesc=(C)Ljava/lang/String;] indexes=[221] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],15,107
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[510] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],54,35
MutationIdentifier [location=Location [clazz=com.google.gson.GsonBuilder method=setFieldNamingPolicy methodDesc=(Lcom/google/gson/FieldNamingPolicy;)Lcom/google/gson/GsonBuilder;] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],24,201
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[108] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],377,1
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=peekKeyword methodDesc=()I] indexes=[163] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],49,95
MutationIdentifier [location=Location [clazz=com.google.gson.internal.$Gson$Types$WildcardTypeImpl method=<init> methodDesc=([Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V] indexes=[58] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],40,39
