id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],20
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],27
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],0
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],34
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],25
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],8
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],13
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],29
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],3
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],32
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],9
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],16
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],14
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],7
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],22
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;Z)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],30
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],31
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],13
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1
