id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.TypeHandler method=createObject methodDesc=(Ljava/lang/String;)Ljava/lang/Object;] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],45,44
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Parser method=processOption methodDesc=(Ljava/lang/String;Ljava/util/ListIterator;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85,67
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionGroup method=setSelected methodDesc=(Lorg/apache/commons/cli/Option;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],67,33
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printUsage methodDesc=(Ljava/io/PrintWriter;ILjava/lang/String;)V] indexes=[24] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89,64
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],76,31
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Options method=getOptionGroups methodDesc=()Ljava/util/Collection;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],63,45
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[141] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],96,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=isValueCode methodDesc=(C)Z] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],92,25
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.TypeHandler method=createValue methodDesc=(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;] indexes=[75] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],24,110
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.CommandLine method=getOptionValues methodDesc=(C)[Ljava/lang/String;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,64
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.BasicParser method=flatten methodDesc=(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],25,14
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.UnrecognizedOptionException method=getOption methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],153,17
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=isLongOption methodDesc=(Ljava/lang/String;)Z] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],1,433
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Parser method=processArgs methodDesc=(Lorg/apache/commons/cli/Option;Ljava/util/ListIterator;)V] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],110,8
