project,reduction,score,acc_avg,acc_min,acc_max
commonc-codec,0.75,0.8460696299540179,0.9842833856409505,0.5,1.0
commonc-codec,0.5,0.8458914191178258,0.969503442571093,0.5,1.0
commonc-codec,0.25,0.8459248716638689,0.9456037676584077,0.5,1.0
commons-cli,0.75,0.7911821974965231,0.9682922306693873,0.5,1.0
commons-cli,0.25,0.7896522948539638,0.9111274363364112,0.5,1.0
commons-cli,0.5,0.7896615669911914,0.9554563216107049,0.5,1.0
commons-csv,0.75,0.850709527946713,0.9748712998712998,0.5,1.0
commons-csv,0.5,0.8510715320011584,0.9586784438652398,0.5,1.0
commons-csv,0.25,0.8524181870836952,0.9275966380656607,0.5,1.0
commons-io,0.5,0.6605210819411297,0.9507549299016972,0.5,1.0
commons-io,0.75,0.6606618322012114,0.9733951410562391,0.5,1.0
commons-io,0.25,0.6608454194969708,0.9020210259300129,0.5,1.0
commons-text,0.25,0.7929799958754382,0.9095027429869238,0.5,1.0
commons-text,0.75,0.7933388327490204,0.9760091289045317,0.5,1.0
commons-text,0.5,0.7930294906166221,0.9534220114112746,0.5,1.0
google-auto-common,0.25,0.6003065721402568,0.9119326608457784,0.5,1.0
google-auto-common,0.5,0.5985757169317238,0.9634615033752953,0.5,1.0
google-auto-common,0.75,0.597125886185093,0.9708386547466987,0.5,1.0
google-auto-factory,0.25,0.48317901234567895,0.9420850297393516,0.5,1.0
google-auto-factory,0.5,0.4844421582075904,0.9771033379058065,0.5,1.0
google-auto-factory,0.75,0.4834362139917695,0.98411065386374,0.5,1.0
google-auto-service,0.75,0.0,1.0,1.0,1.0
google-auto-service,0.25,0.0,1.0,1.0,1.0
google-auto-service,0.5,0.0,1.0,1.0,1.0
google-auto-value,0.5,0.6262172060989688,0.9730724608008745,0.5,1.0
google-auto-value,0.75,0.6266332258449779,0.9798566878980852,0.5,1.0
google-auto-value,0.25,0.6258449779051712,0.9389594607705788,0.5,1.0
gson,0.5,0.6681387864958166,0.9529090313370294,0.5,1.0
gson,0.75,0.6684219764788485,0.9737174686388316,0.5,1.0
gson,0.25,0.6688935697150548,0.9174698545677344,0.5,1.0
scribejava-core,0.75,0.33477201531500167,0.9862915699922655,0.5,1.0
scribejava-core,0.5,0.33553776540201874,0.9716200089503251,0.5,1.0
scribejava-core,0.25,0.3371504814943728,0.9223936142725295,0.5,1.0
