project,reduction,score
google-auto-service,0.25,0.0
commonc-codec,0.25,0.013466170352529061
google-auto-common,0.25,0.05614102318451819
commons-text,0.25,0.02252010723860598
scribejava-core,0.25,0.030630003480682177
commons-io,0.25,0.019299614466678938
google-auto-factory,0.25,0.03532235939643352
gson,0.25,0.019729682288924022
commons-csv,0.25,0.028236316246741944
google-auto-value,0.25,0.019228472471037872
commons-cli,0.25,0.032127955493741256
commons-text,0.5,0.012538667766549771
commons-io,0.5,0.011405360749036197
gson,0.5,0.009303142004563836
google-auto-value,0.5,0.012182013615191667
commonc-codec,0.5,0.008138092110064998
commons-cli,0.5,0.025730180806675884
commons-csv,0.5,0.033159571387199493
google-auto-factory,0.5,0.02246227709190668
scribejava-core,0.5,0.02488687782805432
google-auto-common,0.5,0.0475186817397969
google-auto-service,0.5,0.0
commons-cli,0.75,0.009318497913769153
google-auto-factory,0.75,0.010973936899862813
google-auto-value,0.75,0.009315657470440719
scribejava-core,0.75,0.008005569091542042
gson,0.75,0.003019132876952768
google-auto-common,0.75,0.012454493197930572
commons-io,0.75,0.0017899761336515052
google-auto-service,0.75,0.0
commons-text,0.75,0.0019385440296968426
commons-csv,0.75,0.008688097306689846
commonc-codec,0.75,0.0008758484782133147
