project,seed,clusters,score,acc_avg,acc_min,acc_max
commonc-codec,3548,17,0.7654411093878296,0.7789313969366215,0.7149425287356321,0.8106796116504854
commons-cli,3548,26,0.655076495132128,0.8174357008750975,0.65625,0.9230769230769231
commons-csv,3548,32,0.8154848046309696,0.8272149905736879,0.6,0.9302325581395349
commons-io,3548,40,0.5632170720513997,0.5713339141942415,0.5029940119760479,0.6666666666666666
commons-lang,3548,28,0.8259562942900605,0.770715269526705,0.7470817120622568,0.7967698519515478
commons-text,3548,55,0.6541554959785523,0.7868560586867085,0.723404255319149,1.0
google-auto-common,3548,31,0.3160919540229885,0.6240145883255137,0.5121951219512195,0.85
google-auto-factory,3548,22,0.5458440445586975,0.5888569835463955,0.5,0.7142857142857143
google-auto-service,3548,17,0.0,1.0,1.0,1.0
google-auto-value,3548,41,0.5480597014925374,0.6065263368169634,0.5,0.6944444444444444
gson,3548,40,0.48428997718097244,0.5909766182970128,0.5063291139240507,0.7352941176470589
jfreechart,3548,28,0.3446520976778001,0.741162902136816,0.7098255280073462,0.7605504587155963
jodatime,3548,25,0.5847927288849479,0.6467763879738243,0.5950782997762863,0.6735218508997429
scribejava-core,3548,32,0.23130434782608697,0.7593805255072978,0.5714285714285714,0.8823529411764706
zxing,3548,28,0.927233604073221,0.8290675537198764,0.8021108179419525,0.85
