id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getToken methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],EmptyObjectReturnValsMutator,176,none,1,1,1,com.github.scribejava.core.model.OAuth1AccessToken,getToken,1,27,19,0,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getToken methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,176,none,1,1,1,com.github.scribejava.core.model.OAuth1AccessToken,getToken,1,27,152,0,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getToken methodDesc=()Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,183,none,1,1,1,com.github.scribejava.core.model.OAuth1AccessToken,getToken,0,27,82,0,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getTokenSecret methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],ReturnValsMutator,176,none,1,1,1,com.github.scribejava.core.model.OAuth1AccessToken,getTokenSecret,1,37,152,0,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getTokenSecret methodDesc=()Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,183,none,1,1,1,com.github.scribejava.core.model.OAuth1AccessToken,getTokenSecret,0,37,88,0,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getTokenSecret methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],EmptyObjectReturnValsMutator,176,none,1,1,1,com.github.scribejava.core.model.OAuth1AccessToken,getTokenSecret,1,37,19,0,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],InlineConstantMutator,6,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,42,13,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],CRCR6Mutator,6,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,42,13,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],CRCR5Mutator,6,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,42,13,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],CRCR2Mutator,6,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,42,13,1,1
