id,distance,weight
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=getDeviceAuthorizationCodes methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/DeviceAuthorization;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],19,17
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuthRequest method=getVerb methodDesc=()Lcom/github/scribejava/core/model/Verb;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,144
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.builder.api.DefaultApi10a method=getBaseStringExtractor methodDesc=()Lcom/github/scribejava/core/extractors/BaseStringExtractor;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],82,15
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.builder.ServiceBuilder method=responseType methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/builder/ServiceBuilderOAuth20;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],88,18
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenRequest methodDesc=(Lcom/github/scribejava/core/oauth/AccessTokenRequestParams;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],13,70
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=extractAuthorization methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuth2Authorization;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],14,55
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.Response method=toString methodDesc=()Ljava/lang/String;] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],20,3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9,21
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.AuthorizationUrlBuilder method=build methodDesc=()Ljava/lang/String;] indexes=[59] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],4,18
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=pollAccessTokenDeviceAuthorizationGrant methodDesc=(Lcom/github/scribejava/core/model/DeviceAuthorization;)Lcom/github/scribejava/core/model/OAuth2AccessToken;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],3,99
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenRequest methodDesc=(Lcom/github/scribejava/core/oauth/AccessTokenRequestParams;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[110] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR1Mutator],2,142
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenRequest methodDesc=(Lcom/github/scribejava/core/oauth/AccessTokenRequestParams;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],89,109
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth10aService method=appendSignature methodDesc=(Lcom/github/scribejava/core/model/OAuthRequest;)V] indexes=[47] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],57,41
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.httpclient.multipart.MultipartPayload method=parseOrGenerateBoundary methodDesc=(Ljava/util/Map;)Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],27,26
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=extractAuthorization methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuth2Authorization;] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],26,48
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenRequest methodDesc=(Lcom/github/scribejava/core/oauth/AccessTokenRequestParams;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],95,21
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.Response method=isSuccessful methodDesc=()Z] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],21,7
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.ParameterList method=addQuerystring methodDesc=(Ljava/lang/String;)V] indexes=[67] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],58,35
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],836,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.services.TimestampServiceImpl$Timer method=getMilis methodDesc=()Ljava/lang/Long;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],81,11
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator],22,8
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],796,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.utils.OAuthEncoder method=applyRule methodDesc=(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],76,25
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.base64.Jaxb230Base64 method=internalEncodeUrlWithoutPadding methodDesc=([B)Ljava/lang/String;] indexes=[30] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],56,14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],648,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.Parameter method=asUrlEncodedPair methodDesc=()Ljava/lang/String;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],71,12
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.httpclient.jdk.JDKHttpClient method=execute methodDesc=(Ljava/lang/String;Ljava/util/Map;Lcom/github/scribejava/core/model/Verb;Ljava/lang/String;Ljava/lang/String;)Lcom/github/scribejava/core/model/Response;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],291,6
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.httpclient.jdk.JDKHttpClientConfig method=withProxy methodDesc=(Ljava/net/Proxy;)Lcom/github/scribejava/core/httpclient/jdk/JDKHttpClientConfig;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],90,59
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[56] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],73,32
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.extractors.OAuth2AccessTokenExtractor method=extractParameter methodDesc=(Ljava/lang/String;Ljava/util/regex/Pattern;Z)Ljava/lang/String;] indexes=[42] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],63,32
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[57] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],62,16
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.ParameterList method=add methodDesc=(Ljava/lang/String;Ljava/lang/String;)V] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],96,18
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth2AccessTokenErrorResponse method=<init> methodDesc=(Lcom/github/scribejava/core/oauth2/OAuth2Error;Ljava/lang/String;Ljava/net/URI;Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],80,26
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.extractors.AbstractOAuth1TokenExtractor method=extract methodDesc=(Lcom/github/scribejava/core/model/Response;)Lcom/github/scribejava/core/model/OAuth1Token;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],113,11
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.httpclient.multipart.FileByteArrayBodyPartPayload method=composeHeaders methodDesc=(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/util/Map;] indexes=[48] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],144,12
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=getAuthorizationUrl methodDesc=(Lcom/github/scribejava/core/pkce/PKCE;)Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],146,11
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=getAccessToken methodDesc=(Lcom/github/scribejava/core/oauth/AccessTokenRequestParams;)Lcom/github/scribejava/core/model/OAuth2AccessToken;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],188,3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.httpclient.multipart.MultipartPayload method=<init> methodDesc=(Ljava/lang/String;Ljava/lang/String;Ljava/util/Map;)V] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],155,22
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=getAccessToken methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuth2AccessToken;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],24,61
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=pollAccessTokenDeviceAuthorizationGrant methodDesc=(Lcom/github/scribejava/core/model/DeviceAuthorization;)Lcom/github/scribejava/core/model/OAuth2AccessToken;] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],10,9
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=getAccessTokenDeviceAuthorizationGrant methodDesc=(Lcom/github/scribejava/core/model/DeviceAuthorization;)Lcom/github/scribejava/core/model/OAuth2AccessToken;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],1,122
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.extractors.OAuth2AccessTokenJsonExtractor method=generateError methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],258,3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],7,8
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.utils.StreamUtils method=getStreamContents methodDesc=(Ljava/io/InputStream;)Ljava/lang/String;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],44,12
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.Parameter method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[48] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],49,3
