id,distance
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getToken methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],19
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getToken methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getToken methodDesc=()Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],82
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getTokenSecret methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getTokenSecret methodDesc=()Ljava/lang/String;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],88
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=getTokenSecret methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],19
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[3] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],20
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],2
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],3
