id,killed,numTests
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=<init> methodDesc=(Lcom/github/scribejava/core/builder/api/DefaultApi20;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/io/OutputStream;Ljava/lang/String;Lcom/github/scribejava/core/httpclient/HttpClientConfig;Lcom/github/scribejava/core/httpclient/HttpClient;)V] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],1,12
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=<init> methodDesc=(Lcom/github/scribejava/core/builder/api/DefaultApi20;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/io/OutputStream;Ljava/lang/String;Lcom/github/scribejava/core/httpclient/HttpClientConfig;Lcom/github/scribejava/core/httpclient/HttpClient;)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],0,12
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=<init> methodDesc=(Lcom/github/scribejava/core/builder/api/DefaultApi20;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/io/OutputStream;Ljava/lang/String;Lcom/github/scribejava/core/httpclient/HttpClientConfig;Lcom/github/scribejava/core/httpclient/HttpClient;)V] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],1,12
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR1Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR3Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=checkForErrorRevokeToken methodDesc=(Lcom/github/scribejava/core/model/Response;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[20] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[64] mutator=org.pitest.mutationtest.engine.gregor.mutators.NullReturnValsMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[64] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[47] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[54] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[60] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenClientCredentialsGrantRequest methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],1,0
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createAccessTokenDeviceAuthorizationGrantRequest methodDesc=(Lcom/github/scribejava/core/model/DeviceAuthorization;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],1,0
