project,reduction,score,acc_avg,acc_min,acc_max
google-auto-service,0.25,0.0,1.0,1,1.0
google-auto-service,0.5,0.0,1.0,1,1.0
google-auto-service,0.75,0.0,1.0,1,1.0
google-auto-common,0.25,0.591875838283196,0.9119326608457783,0.5,1.0
google-auto-common,0.5,0.5978156735006707,0.9634615033752952,0.5,1.0
google-auto-common,0.75,0.5960912052117264,0.9708386547466985,0.5,1.0
scribejava-core,0.25,0.3353637312913331,0.9223936142725297,0.5,1.0
scribejava-core,0.5,0.3358858336233902,0.9716200089503251,0.5,1.0
scribejava-core,0.75,0.33762617473024714,0.9862915699922657,0.5,1.0
google-auto-factory,0.25,0.4718792866941015,0.9420850297393514,0.5,1.0
google-auto-factory,0.5,0.4838820301783265,0.9771033379058066,0.5,1.0
google-auto-factory,0.75,0.47925240054869683,0.9841106538637396,0.5,1.0
commons-csv,0.25,0.8360845641471184,0.9275966380656603,0.5,1.0
commons-csv,0.5,0.8323197219808862,0.95867844386524,0.5,1.0
commons-csv,0.75,0.8470894874022589,0.9748712998713,0.5,1.0
commons-cli,0.25,0.8030598052851182,0.9111274363364112,0.5,1.0
commons-cli,0.5,0.7884561891515994,0.9554563216107052,0.5,1.0
commons-cli,0.75,0.7933240611961057,0.9682922306693873,0.5,1.0
google-auto-value,0.25,0.6266571121461841,0.9389594607705786,0.5,1.0
google-auto-value,0.5,0.6311955093753733,0.9730724608008743,0.5,1.0
google-auto-value,0.75,0.6289263107607787,0.9798566878980852,0.5,1.0
gson,0.25,0.6646305072845358,0.9174698545677344,0.5,1.0
gson,0.5,0.6708443040196594,0.9529090313370295,0.5,1.0
gson,0.75,0.6669124100403722,0.9737174686388317,0.5,1.0
commons-io,0.25,0.6610519552046998,0.9020210259300132,0.5,1.0
commons-io,0.5,0.6628878281622912,0.9507549299016967,0.5,1.0
commons-io,0.75,0.6615568202680374,0.9733951410562389,0.5,1.0
commons-text,0.25,0.7856052794390596,0.9095027429869241,0.5,1.0
commons-text,0.5,0.8009486492060218,0.9534220114112748,0.5,1.0
commons-text,0.75,0.7943081047638688,0.9760091289045315,0.5,1.0
commonc-codec,0.25,0.8488249032917305,0.9456037676584075,0.5,1.0
commonc-codec,0.5,0.8484964601124005,0.9695034425710931,0.5,1.0
commonc-codec,0.75,0.8465075541931246,0.9842833856409507,0.5,1.0
