project,reduction,score,acc_avg,acc_min,acc_max
google-auto-service,0.25,0.0,1.0,1,1.0
google-auto-service,0.5,0.0,1.0,1,1.0
google-auto-service,0.75,0.0,1.0,1,1.0
google-auto-common,0.25,0.5740563326307722,0.8869138375460222,0.5,1.0
google-auto-common,0.5,0.6012646100785591,0.9419220945082992,0.5,1.0
google-auto-common,0.75,0.5953247748610845,0.9713495104299695,0.5,1.0
scribejava-core,0.25,0.3362339018447616,0.9135952696495498,0.5,1.0
scribejava-core,0.5,0.34041072050121823,0.9650191437521745,0.5,1.0
scribejava-core,0.75,0.33449356073790465,0.9856148491879346,0.5,1.0
google-auto-factory,0.25,0.47136488340192045,0.9299693771401594,0.5,1.0
google-auto-factory,0.5,0.4854252400548697,0.9709362139917692,0.5,1.0
google-auto-factory,0.75,0.48233882030178327,0.9860920591373264,0.5,1.0
commons-csv,0.25,0.8588184187662902,0.9281972948880884,0.5,1.0
commons-csv,0.5,0.8376773819866783,0.9575634713775452,0.5,1.0
commons-csv,0.75,0.8492615117289314,0.9747104247104247,0.5,1.0
commons-cli,0.25,0.7899860917941586,0.9064464333096149,0.5,1.0
commons-cli,0.5,0.7817802503477052,0.9491701437181275,0.5,1.0
commons-cli,0.75,0.7926286509040333,0.9679831880833185,0.5,1.0
google-auto-value,0.25,0.6321509614236236,0.927145069191879,0.5,1.0
google-auto-value,0.5,0.6319120984115609,0.9630342427189498,0.5,1.0
google-auto-value,0.75,0.6268959751582468,0.979206475583862,0.5,1.0
gson,0.25,0.6737932245041249,0.8976882598196907,0.5,1.0
gson,0.5,0.6731964191679831,0.9510508085843281,0.5,1.0
gson,0.75,0.6656134807793576,0.9750982961992136,0.5,1.0
commons-io,0.25,0.6729162841931339,0.8971534951799358,0.5,1.0
commons-io,0.5,0.6647695979438223,0.9494109907594326,0.5,1.0
commons-io,0.75,0.6607765742610612,0.9752004161312037,0.5,1.0
commons-text,0.25,0.8030727985151578,0.910334181065441,0.5,1.0
commons-text,0.5,0.7981027015879563,0.944541829930571,0.5,1.0
commons-text,0.75,0.7942668591462158,0.9760916190057193,0.5,1.0
commonc-codec,0.25,0.8461608641704985,0.9418068086614213,0.5,1.0
commonc-codec,0.5,0.8450295598861397,0.9639989781767832,0.5,1.0
commonc-codec,0.75,0.8465440478797168,0.9862297155925358,0.5,1.0
